ID_Venta,ID_Cliente,Fecha,Producto,Cantidad,Precio_Unitario,Monto_Total
V001,C001,2023-10-01,Laptop Dell,1,850,850
V002,C002,2023-10-03,Mouse Logitech,2,25,50
V003,C003,2023-10-04,Teclado Asus,1,45,45
V004,C001,2023-10-05,Monitor LG,1,200,200
V005,C004,2023-10-06,Impresora HP,1,120,120
V006,C005,2023-10-07,Webcam Logitech,1,60,60
V007,C003,2023-10-08,Laptop HP,1,900,900
V008,C002,2023-10-09,Disco Duro 1TB,3,40,120
V009,C004,2023-10-10,Teclado Mecánico,2,70,140
V010,C005,2023-10-11,Monitor Samsung,1,250,250
V011,C006,2023-10-12,Tablet Samsung,1,400,400
V012,C007,2023-10-13,Mouse Inalámbrico,2,30,60
V013,C008,2023-10-14,Laptop Lenovo,1,800,800
V014,C009,2023-10-15,Impresora Epson,1,150,150
V015,C010,2023-10-16,Monitor LG,2,200,400


